;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175
0;3,06;0,983;0;4,042;0,79;0;0;0;0;0;5,578;3,06;0;0;0;0;0;0;0;0;0;0;0;2,946;1,434;1,75;0;0;0;0;0;0;1,44;0;0;0;0;1,434;0;0;0;0;1,946;0;0;0;0;0;1,946;0;0;0;1,946;2,946;0;0;0;0;0;0;2,434;2,44;0;0;0;0;0;0;0;0;0;2,868;0;0;0;2,44;0;0;0;0;0;0;0;0;0;1,946;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;1,44;0;0;1,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;2,046;1,048;2,428;0;0;0;2,684;1,914;0;0;0;0;0;0;2,796;0;0;0;0;0;3,428;0;0;0;0;0;0
1;0;0;0;0;1,518;0;0;0;0;3,06;3,06;0;3,06;5,12;0;2,434;0;0;0;0;0;0;1,946;0;0;2,946;0;0;0;0;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,44;0;2,44;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;2,44;0;2,946;0;0;0;0;0;0;0;0;2,434;0;0;0;0,75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,158;0;0;0;0;0;3,428;0;0;0;0;0;0
2;0;0;0;3,06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;2,524;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,868;2,434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;2,258;0;0;0;2,946;0;0;0;0;1,338;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,44;0;0;0;1,928;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,38;0;0;1,946;1,946;0;0;0;0;0;0;0;0;0;2,548;0;0;0;0;0;0;0;0;0;0;0;0;0;1,79;0;0;0
4;0;0;0;0;2,524;0;0;0;0;0;0;0;0;3,06;0;0;0;0;0;0;0;0;0;0;1,946;0;1,44;1,946;2,946;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,752;0;0;0;0;0;0;0;0;0;0;0;3,279;0;0;0;0;0;0;0;0;2,946;0;0;2,946;0;0;0;0;2,434;0;0;2,946;0;2,434;0;1,434;0;0;0;1,434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,44;1,946;0;0;1,244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,946;0;0;1,928;0;0;0;0;0;0;0;0;1,946;5,892;0;2,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;0;2,06;1,518;2,06;3,06;0;0;9,18;3,06;10,41;0;0;2,946;0;0;0;0;2,434;1,44;2,946;1,35;2,946;1,946;0;1,946;2,946;0;0;2,946;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;0;0;0;1,946;2,946;0;2,946;0;0;1,44;0;0;0;0;0;0;0;0;0;0;0;2,258;0;0;0;0;0;5,38;0;0;1,928;0;0;0;0,752;0;0;0;2,434;1,946;0;0;1,434;1,946;0;0;0;0;0;0;0;4,386;0;0;0;0;0;0;0;0;0;0;3,184;0;0;0;0;0;0;2,868;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;2,434;0;1,946;0;3,428;0;0;0;0;0;0;0;0;0;0;3,428;0;0;0;0;0;0;0;0;0;0;0;2,053;0;0;0
6;10,698;6,096;10,698;4,85;14,53;10,216;5,578;0;0;0;16,36;6,12;15,094;23,396;0;3,38;0;0;0;0;9,48;22,978;21,364;38,77;28,272;12,524;0;0;1,946;0;0,928;3,874;0;0;5,892;0;0;0;0;0;4,184;2,946;1,946;1,946;0;1,928;2,946;0,828;0;4,892;2,946;0;1,946;0;0;2,946;0;3,192;0;0;0;2,946;0;0;1,434;0;0;0;1,946;4,386;0;0;0;2,946;0;2,44;0;1,946;0;0;1,928;0;0;2,44;2,946;0;0;0;0;0;0;0;0;3,868;1,946;0;1,338;2,946;0;1,946;0;2,434;0;0;3,892;2,946;2,434;2,946;0;0;0;0;0;5,38;0;0;0;4,38;0;2,946;0;1,946;0;2,946;0;2,44;0;2,434;0;0;2,946;2,946;1,946;0;0;0;0;0;2,946;0;0;1,434;0;2,434;4,874;0;4,184;5,38;0;0;0;3,428;3,428;0;0;0;0;1,796;0;0;0;0;0;0;0;0;0;0;0;0;2,79;0;0;0;2,79;0
7;0;8,698;23,752;10,434;12,572;15,276;11,669;2,06;2,06;4,578;23,719;19,343;16,276;35,642;0;1,434;0;0;9,135;5,38;19,11;23,014;33,862;67,753;27,624;22,044;4,892;0;1,946;5,72;0,928;0;0;0;0;1,44;0;0;3,802;0;0;2,946;0;0;2,334;2,44;0;5,38;0;1,946;2,946;5,892;0;0;0;0;0;1,44;0;2,434;0;0;2,946;0;0;2,946;0;1,434;2,768;0;2,946;0;2,946;0;0;0;0;1,434;0;0;0;2,44;0;0;0;2,874;0;0;1,946;1,946;2,946;6,82;0;0;2,434;0;0;4,698;0;0;0;2,946;0;0;2,262;0;0;1,946;0;0;0;5,892;4,892;5,38;0;0;0;0;0;0;0;0;0;0;0;0;4,38;0;2,946;0;0;0;0;0;2,946;2,946;0;0;0;3,38;1,434;7,26;5,204;2,946;3,698;1,946;0;0;1,946;0;0;0;0;0;0;0;0;0;0;2,796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;3,06;6,644;7,434;5,578;16,156;9,627;10,216;5,12;4,042;3,036;22,944;19,789;26,699;42,026;0;1,928;0;0;6,078;19,604;14,218;6,326;41,624;39,418;18,978;2,946;5,838;0;1,946;0;3,856;5,136;1,434;0;0;0;2,44;0;7,838;0;0;0;0;0;1,928;2,434;0;0;0;0;0;0;0;0;0;0;0;3,38;0;1,44;0;1,946;0;0;0;0;0;0;0;0;0;1,946;0;0;0;0;0;2,946;0;1,928;0;1,44;0;0;2,44;2,434;0;0;0;0;3,892;0;0;0;1,338;1,946;0;4,386;2,946;0;0;0;0;0;1,434;0;0;0;0;0;0;0;1,946;0;5,892;2,946;1,44;0;0;5,892;0;0;0;0;0;0;0;0;0;0;0;0;1,946;1,928;0;0;0;0;0;0;0;0;5,892;2,434;0;0;0;5,38;7,838;2,686;2,678;2,428;0;0;0;0;0;2,79;0;0;0;0;0;0;3,428;0;0;0;0;0;0;0;0;0;0;0
9;4,86;3,06;11,698;12,24;3,94;6,644;2,06;5,12;8,638;3,225;20,42;18,36;29,178;36,172;0;2,874;0;0;1,946;0;15,14;11,272;11,784;29,614;4,892;2,44;4,186;3,624;0;0;0;0;0;0;7,82;0;2,44;1,946;0;4,362;2,946;0;1,258;0;0;0;2,946;0;0;1,44;0;0;0;2,946;0;0;1,946;5,536;0;0;2,44;3,297;0;1,946;0;0;0;0;0;2,946;0;0;2,946;1,946;0;0;0;0;0;2,434;0,928;0;0;2,946;0;1,946;0;0;0;0;2,946;1,946;1,946;0;1,434;0;1,434;2,946;1,946;0;0;0;0;0;0;0;0;1,434;0;2,946;1,44;0;0;0;0;0;0;0;0;0;0;2,946;0;0;0;0;0;0;2,946;2,946;0;0;2,946;0;2,946;0;2,946;0;0;2,35;0;0;0;0;4,892;0;0;5,297;0;0;0;6,106;0;0;0;2,158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
