@relation R_data_frame-weka.filters.unsupervised.instance.RemovePercentage-P50.0-weka.filters.unsupervised.instance.RemovePercentage-P50.0-V

@attribute BR {BR101,BR104,BR110,BR116,BR232,BR316,BR407,BR408,BR423,BR424,BR428}
@attribute CondPista {'Com buraco','Com Gelo','Com material granulado','Em obra',Enlameada,Escorregadia,Molhada,Oleosa,Outra,Seca}
@attribute RestrVisibili {Cartazes/faixas,'Configuração do terreno',Inexistente,Ofuscamento,Outros,Placas,Poeira/fumaça/neblina,Vegetação,'Veículo estacionado'}
@attribute TipoAcident {'Atropelamento de animal','Atropelamento de pessoa',Capotamento,'Colisão com bicicleta','Colisão com objeto fixo','Colisão com objeto móvel','Colisão frontal','Colisão lateral','Colisão Transversal','Colisão traseira','Danos Eventuais','Derramamento de Carga',Incêndio,QuedaMoto/bicla,'Saída de Pista',Tombamento}
@attribute CausaAcident {'Animais na Pista','Defeito mecânico','Defeito na via','Desobediência à sinalização',Dormindo,'Falta de atenção','Ingestão de álcool','Não guardar distância segura',Outras,'Ultrapassagem indevida','Velocidade incompatível'}
@attribute TracadoVia {Cruzamento,Curva,Reta}
@attribute TipoAuto {Automóvel,Bicicleta,Caminhão,Caminhão-Tanque,Caminhão-Trator,Caminhonete,Camioneta,Carroça,Carro-de-mao,Charrete,Ciclomotor,Microônibus,Motocicletas,Motoneta,'Não identificado','Não Informado','Não se Aplica',Ônibus,Quadriciclo,Reboque,Semi-Reboque,'Trator de esteiras','Trator de rodas','Trator misto',Triciclo,Utilitário}
@attribute DiaDaSemana {Domingo,Quarta-feira,Quinta-feira,Sábado,Segunda-feira,Sexta-feira,Terça-feira}
@attribute KMArredondado numeric
@attribute Delegacia numeric
@attribute Periodo {Madrugada,Manhã,Noite,Tarde}

@data
BR424,Seca,Inexistente,'Colisão lateral','Ultrapassagem indevida',Reta,Motocicletas,Domingo,68,1103,Madrugada
BR424,Outra,Inexistente,Tombamento,'Velocidade incompatível',Reta,Caminhonete,Sexta-feira,70,1103,Manhã
BR424,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhonete,Sexta-feira,83,1103,Tarde
BR424,Seca,Inexistente,'Colisão com objeto fixo','Defeito na via',Reta,Caminhão-Trator,Quarta-feira,91,1103,Tarde
BR424,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Caminhão,Quinta-feira,93,1103,Noite
BR424,Seca,'Configuração do terreno','Colisão frontal','Ultrapassagem indevida',Reta,'Não identificado',Segunda-feira,96,1103,Tarde
BR424,Seca,Inexistente,Capotamento,Outras,Reta,'Não identificado',Segunda-feira,96,1103,Tarde
BR424,Molhada,Poeira/fumaça/neblina,'Colisão traseira','Velocidade incompatível',Curva,Caminhão,Terça-feira,98,1103,Noite
BR428,Seca,Inexistente,Capotamento,Outras,Reta,Motocicletas,Domingo,14,1105,Tarde
BR428,Seca,Outros,'Atropelamento de animal','Animais na Pista',Reta,Motocicletas,Domingo,42,1106,Noite
BR428,Seca,Inexistente,Capotamento,'Defeito mecânico',Reta,Camioneta,Quarta-feira,42,1105,Tarde
BR428,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão,Sexta-feira,46,1106,Tarde
BR428,Seca,Inexistente,'Atropelamento de animal','Animais na Pista',Reta,Caminhonete,Domingo,70,1106,Noite
BR428,Seca,Inexistente,'Saída de Pista',Dormindo,Curva,Caminhão,Terça-feira,73,1106,Madrugada
BR428,Seca,Inexistente,'Saída de Pista',Dormindo,Reta,Caminhonete,Sexta-feira,86,1106,Tarde
BR428,Seca,Ofuscamento,'Atropelamento de animal',Outras,Reta,Caminhão,Quinta-feira,87,1106,Noite
BR428,Seca,Inexistente,'Colisão lateral','Falta de atenção',Curva,Caminhão,Segunda-feira,139,1106,Tarde
BR428,Outra,Inexistente,'Colisão lateral','Falta de atenção',Reta,Motocicletas,Domingo,140,1106,Noite
