%
% ARFF data file, generated by KNIME
%
% Date: Sun Feb 05 11:28:54 BRT 2017
% User: otluiz
%

@RELATION DataTable
@ATTRIBUTE BR	INTEGER
@ATTRIBUTE CondPista	INTEGER
@ATTRIBUTE RestrVisibili	INTEGER
@ATTRIBUTE TipoAcident	INTEGER
@ATTRIBUTE CausaAcident	INTEGER
@ATTRIBUTE TracadoVia	INTEGER
@ATTRIBUTE TipoAuto	INTEGER
@ATTRIBUTE Gravidade	INTEGER
@ATTRIBUTE DiaDaSemana	INTEGER
@ATTRIBUTE Hour	INTEGER
@ATTRIBUTE KMArredondado	INTEGER
@ATTRIBUTE Delegacia	INTEGER
@ATTRIBUTE tx_RestVisibi	REAL
@ATTRIBUTE tx_CondPista	REAL
@ATTRIBUTE tx_TipoAcident	REAL
@ATTRIBUTE tx_DiaSemana	REAL
@ATTRIBUTE tx_CausaAcident	REAL
@ATTRIBUTE tx_TracadoVia	REAL
@ATTRIBUTE tx_BR	REAL
@ATTRIBUTE tx_Km	REAL

@DATA
101,1,10,2,6,4,1,1,2,18,21,1101,0.923,0.802,0.091,0.137,0.255,0.812,0.434,0.005
101,1,10,2,3,4,3,1,2,8,42,1101,0.923,0.802,0.091,0.137,0.375,0.812,0.434,0.006
101,1,10,10,6,4,1,1,7,0,47,1101,0.923,0.802,0.034,0.132,0.255,0.812,0.434,0.008
101,1,10,18,6,4,233,1,3,0,51,1101,0.923,0.802,0.034,0.136,0.255,0.812,0.434,0.012
101,1,10,2,3,4,5,1,6,19,51,1101,0.923,0.802,0.091,0.14,0.375,0.812,0.434,0.012
101,1,10,1,3,4,8,1,2,14,55,1101,0.923,0.802,0.218,0.137,0.375,0.812,0.434,0.005
101,1,10,1,15,12,5,1,7,23,59,1101,0.923,0.802,0.218,0.132,0.037,0.152,0.434,0.009
101,1,10,1,3,8,13,1,1,8,68,1101,0.923,0.802,0.218,0.155,0.375,0.037,0.434,0.025
101,1,10,1,9,4,13,1,3,15,68,1101,0.923,0.802,0.218,0.136,0.024,0.812,0.434,0.025
101,1,10,4,3,4,21,1,5,14,68,1101,0.923,0.802,0.301,0.158,0.375,0.812,0.434,0.025
101,1,10,6,6,4,5,1,2,19,68,1101,0.923,0.802,0.032,0.137,0.255,0.812,0.434,0.025
101,1,10,6,15,4,5,1,4,21,68,1101,0.923,0.802,0.032,0.141,0.037,0.812,0.434,0.025
101,1,10,4,3,4,8,1,5,7,83,1101,0.923,0.802,0.301,0.158,0.375,0.812,0.434,0.017
101,1,10,6,6,4,5,1,1,14,83,1101,0.923,0.802,0.032,0.155,0.255,0.812,0.434,0.017
101,1,10,4,3,4,1,1,7,6,87,1101,0.923,0.802,0.301,0.132,0.375,0.812,0.434,0.007
101,1,10,1,3,4,13,1,6,17,102,1101,0.923,0.802,0.218,0.14,0.375,0.812,0.434,0.006
101,16,10,1,6,4,13,1,7,21,102,1101,0.923,0.025,0.218,0.132,0.255,0.812,0.434,0.006
101,1,10,8,3,4,34,1,3,15,102,1101,0.923,0.802,0.012,0.136,0.375,0.812,0.434,0.006
101,1,10,1,3,4,1,1,5,18,102,1101,0.923,0.802,0.218,0.158,0.375,0.812,0.434,0.006
104,1,10,2,6,4,55,1,1,18,52,1102,0.923,0.802,0.091,0.155,0.255,0.812,0.066,0.007
116,1,10,1,3,8,89,1,7,12,26,1105,0.923,0.802,0.218,0.132,0.375,0.037,0.012,0.006
232,1,10,10,33,4,13,1,4,3,27,1101,0.923,0.802,0.034,0.141,0.038,0.812,0.271,0.004
232,1,10,10,3,4,1,1,7,17,66,1101,0.923,0.802,0.034,0.132,0.375,0.812,0.271,0.016
232,1,10,1,6,4,3,1,7,13,127,1102,0.923,0.802,0.218,0.132,0.255,0.812,0.271,0.008
232,1,10,24,18,4,13,1,3,4,296,1103,0.923,0.802,0.056,0.136,0.039,0.812,0.271,0.0
316,1,10,12,3,4,8,1,6,5,62,1105,0.923,0.802,0.036,0.14,0.048,0.812,0.028,0.008
316,1,10,16,3,4,8,1,4,4,121,1105,0.923,0.802,0.043,0.141,0.048,0.812,0.028,0.001
428,1,10,12,3,4,1,1,3,19,12,1105,0.923,0.802,0.036,0.136,0.048,0.812,0.05,0.003
428,1,10,1,3,4,13,1,1,17,101,1106,0.923,0.802,0.218,0.155,0.375,0.812,0.05,0.005
101,1,10,4,3,4,1,1,6,10,8,1101,0.923,0.802,0.301,0.14,0.375,0.812,0.434,0.011
101,2,30,10,15,4,13,1,3,23,34,1101,0.031,0.135,0.034,0.136,0.037,0.812,0.434,0.003
101,16,30,1,9,4,1,1,6,21,36,1101,0.031,0.025,0.218,0.14,0.024,0.812,0.434,0.003
101,1,10,20,6,4,21,1,7,4,36,1101,0.923,0.802,0.104,0.132,0.255,0.812,0.434,0.003
101,1,10,4,3,4,21,1,6,19,65,1101,0.923,0.802,0.301,0.14,0.375,0.812,0.434,0.013
