@relation prfPeriodoTx-weka.filters.unsupervised.instance.RemovePercentage-P66.7-V

@attribute BR numeric
@attribute CondPista {Seca,'Com buraco',Molhada,'Em obra',Outra,Escorregadia,Oleosa,Enlameada,'Com material granulado','Com Gelo'}
@attribute RestrVisibili {Inexistente,Outros,'Veículo estacionado','Configuração do terreno',Poeira/fumaça/neblina,Vegetação,Ofuscamento,Cartazes/faixas,Placas}
@attribute TipoAcident {'Colisão Transversal','Colisão com objeto fixo','Atropelamento de pessoa','Colisão lateral','Colisão traseira',QuedaMoto/bicla,'Colisão com bicicleta',Capotamento,'Atropelamento de animal','Colisão frontal','Saída de Pista','Colisão com objeto móvel',Tombamento,'Derramamento de Carga','Danos Eventuais',Incêndio}
@attribute CausaAcident {Outras,'Falta de atenção','Velocidade incompatível','Ultrapassagem indevida','Desobediência à sinalização','Defeito mecânico','Animais na Pista','Não guardar distância segura',Dormindo,'Defeito na via','Ingestão de álcool'}
@attribute TracadoVia {Reta,Curva,Cruzamento}
@attribute TipoAuto {Automóvel,'Não Informado','Não se Aplica',Motocicletas,Caminhão-Trator,Camioneta,Caminhão,Bicicleta,Caminhonete,Ônibus,Microônibus,'Não identificado',Motoneta,'Trator de rodas',Triciclo,Carroça,Caminhão-Tanque,Semi-Reboque,Utilitário,Ciclomotor,Charrete,Carro-de-mao,Quadriciclo,'Trator misto',Reboque,'Trator de esteiras'}
@attribute Gravidade numeric
@attribute DiaDaSemana {Terça-feira,Domingo,Quarta-feira,Sábado,Segunda-feira,Sexta-feira,Quinta-feira}
@attribute KMArredondado numeric
@attribute Delegacia {1101.0,1102.0,1105.0,1103.0,1106.0,1104.0,NA}
@attribute probAcident numeric
@attribute Periodo {Noite,Manhã,Madrugada,Tarde}

@data
101,Seca,Inexistente,'Colisão Transversal',Outras,Reta,Automóvel,1,Terça-feira,21,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,'Não Informado',1,Terça-feira,42,1101.0,0.261,Manhã
101,Seca,Inexistente,'Colisão com objeto fixo',Outras,Reta,Automóvel,1,Domingo,47,1101.0,0.261,Madrugada
101,Seca,Inexistente,'Atropelamento de pessoa',Outras,Reta,'Não se Aplica',1,Quarta-feira,51,1101.0,0.261,Madrugada
101,Seca,Inexistente,'Colisão Transversal','Falta de atenção',Reta,Motocicletas,1,Sábado,51,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Reta,Caminhão-Trator,1,Terça-feira,55,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão lateral','Velocidade incompatível',Curva,Motocicletas,1,Domingo,59,1101.0,0.049,Noite
101,Seca,Inexistente,'Colisão lateral','Falta de atenção',Cruzamento,Camioneta,1,Segunda-feira,68,1101.0,0.012,Manhã
101,Seca,Inexistente,'Colisão lateral','Ultrapassagem indevida',Reta,Camioneta,1,Quarta-feira,68,1101.0,0.261,Tarde
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão,1,Sexta-feira,68,1101.0,0.261,Tarde
101,Seca,Inexistente,QuedaMoto/bicla,Outras,Reta,Motocicletas,1,Terça-feira,68,1101.0,0.261,Noite
101,Seca,Inexistente,QuedaMoto/bicla,'Velocidade incompatível',Reta,Motocicletas,1,Quinta-feira,68,1101.0,0.261,Noite
101,Seca,Inexistente,'Colisão traseira','Falta de atenção',Reta,Caminhão-Trator,1,Sexta-feira,83,1101.0,0.261,Manhã
